                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 2.2238,                 2.0493,                  1.788,                0.46336,                0.42857,                0.30601,                0.15624,                 2.0084,                 2.7774,                 2.0528,              0.0005942,              0.0005942,              0.0005942
                     74,                 2.2694,                 1.7057,                 1.4439,                0.46336,                0.42857,                0.30601,                0.15624,                 2.0084,                 2.7774,                 2.0528,              0.0005744,              0.0005744,              0.0005744
                     75,                  2.142,                 1.9669,                 1.5223,                0.42903,                0.28571,                0.25986,                0.14889,                 2.1987,                 2.9746,                 2.2523,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.8251,                 1.9935,                 1.2287,                0.42903,                0.28571,                0.25986,                0.14889,                 2.1987,                 2.9746,                 2.2523,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.8075,                  1.571,                 1.2794,                0.57982,                0.42857,                0.28686,                0.15954,                 2.1666,                 3.3152,                 2.3723,               0.000515,               0.000515,               0.000515
                     78,                 1.8291,                 1.6106,                 1.3857,                0.57982,                0.42857,                0.28686,                0.15954,                 2.1666,                 3.3152,                 2.3723,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.8201,                  1.821,                 1.5215,                0.68933,                0.42857,                0.32963,                0.12999,                 2.1538,                  3.386,                 2.1762,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.9429,                 1.8949,                 1.4485,                0.68933,                0.42857,                0.32963,                0.12999,                 2.1538,                  3.386,                 2.1762,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.8496,                 1.6274,                 1.3438,                0.61066,                0.28571,                 0.1972,                0.10212,                 2.3177,                 3.7083,                 2.8795,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.9204,                  1.894,                 1.4018,                0.61066,                0.28571,                 0.1972,                0.10212,                 2.3177,                 3.7083,                 2.8795,               0.000416,               0.000416,               0.000416
                     83,                 1.9152,                 1.7092,                 1.4252,                0.44824,                0.28571,                0.14621,                 0.0808,                 2.6088,                 3.6283,                 2.4635,              0.0003962,              0.0003962,              0.0003962
                     84,                 2.4657,                 2.0081,                 1.7993,                0.44824,                0.28571,                0.14621,                 0.0808,                 2.6088,                 3.6283,                 2.4635,              0.0003764,              0.0003764,              0.0003764
